date,rate,diff,lag_1,lag_2,lag_6,lag_8,lag_11,lag_13,lag_15,lag_16,lag_25,lag_32,lag_34,rmean_4,rstd_4,rmean_8,rstd_8,rmean_12,rstd_12,ret_3,ret_7,ret_14,ret_21,ret_30,ret_60,ret_90,month,day,year
1998-06-05,90.4,1.440000000000012,1.8399999999999892,-0.1799999999999926,0.20000000000000284,-1.0600000000000023,-0.20000000000000284,-0.2400000000000091,0.1599999999999966,1.3800000000000097,-1.4000000000000057,0.36000000000001364,-0.5100000000000051,1.0499999999999972,0.8831005982710305,0.4324999999999992,0.9585070235974846,0.39999999999999974,0.7956243974503148,-0.03999999999999204,0.0,1.5714285714285823,-9.470588235294104,-1.9056603773584961,-5.965517241379245,1.0571428571428658,6,5,1998
1998-06-12,87.42,-2.980000000000004,1.440000000000012,1.8399999999999892,0.12000000000000455,0.0,0.4000000000000057,0.3400000000000034,0.5600000000000023,0.1599999999999966,-0.21999999999999886,-0.3200000000000074,0.0799999999999983,1.1500000000000021,0.9039911503991551,0.745000000000001,0.7961873433522303,0.49166666666666714,0.8496184526900954,15.555555555556257,-15.899999999999809,11.416666666666213,-38.250000000000846,5.0816326530612965,0.0,5.651785714285611,6,12,1998
1998-06-19,86.0,-1.4200000000000017,-2.980000000000004,1.440000000000012,1.039999999999992,0.20000000000000284,0.7999999999999972,-0.20000000000000284,-0.2400000000000091,0.5600000000000023,-1.0750000000000028,-1.5900000000000034,0.36000000000001364,0.030000000000001137,2.1884850163221747,0.3725000000000005,1.5421668429286672,0.2600000000000004,1.3097675019219663,-1.771739130434788,-12.833333333332899,-5.176470588235257,-1.2595978062157225,0.1735537190082581,-24.666666666665797,-18.7500000000004,6,19,1998
1998-06-26,86.16,0.1599999999999966,-1.4200000000000017,-2.980000000000004,1.5,0.12000000000000455,-1.0600000000000023,0.4000000000000057,0.3400000000000034,-0.2400000000000091,1.2450000000000045,-0.4899999999999949,-0.3200000000000074,-0.28000000000000114,2.3124590086457038,0.16999999999999993,1.6691828625322724,0.1083333333333331,1.3947031833680488,-0.8888888888888922,-0.8461538461538483,-1.7999999999999716,-1.5517241379310378,-1.380952380952384,-0.5151515151515229,-2.142857142857114,6,26,1998
1998-07-03,85.4,-0.7599999999999909,0.1599999999999966,-1.4200000000000017,-0.1799999999999926,1.039999999999992,0.0,0.7999999999999972,-0.20000000000000284,0.3400000000000034,-0.1700000000000017,-1.210000000000008,-1.5900000000000034,-0.6999999999999993,1.917985053817335,0.17499999999999893,1.6690715982245945,0.054999999999999716,1.3779860139150377,-0.7449664429530235,-1.5066666666666606,-2.89999999999995,-1.4935064935064901,-0.02564102564103876,0.33333333333333326,3.222222222222345,7,3,1998
1998-07-10,85.76,0.35999999999999943,-0.7599999999999909,0.1599999999999966,1.8399999999999892,1.5,0.20000000000000284,-1.0600000000000023,0.4000000000000057,-0.20000000000000284,0.0799999999999983,-0.4199999999999875,-0.4899999999999949,-1.25,1.3228756555322958,-0.049999999999998934,1.6570886690647726,0.08000000000000067,1.3585018486285805,-1.2535211267605626,-3.000000000000079,-0.5499999999999992,-0.7391304347826109,-1.2571428571428558,0.0,0.5652173913043184,7,10,1998
1998-07-17,85.22,-0.5400000000000063,0.35999999999999943,-0.7599999999999909,1.440000000000012,-0.1799999999999926,0.12000000000000455,0.0,0.7999999999999972,0.4000000000000057,5.469999999999999,-0.7800000000000011,-1.210000000000008,-0.41499999999999915,0.8287138629627605,-0.192499999999999,1.5503340653825926,0.11000000000000061,1.3605480179291383,-4.375000000000111,-1.2934782608695703,-0.4905660377358443,-4.375000000000111,1.4545454545454954,-2.1250000000000373,0.5789473684210766,7,17,1998
1998-07-24,85.7,0.480000000000004,-0.5400000000000063,0.35999999999999943,-2.980000000000004,1.8399999999999892,1.039999999999992,0.20000000000000284,-1.0600000000000023,0.7999999999999972,-0.28999999999999204,-1.4000000000000057,-0.4199999999999875,-0.19500000000000028,0.5392278430002113,-0.2375000000000007,1.5551366499443076,0.048333333333333194,1.3728128610685253,-1.631578947368434,-0.6666666666666667,0.0,-0.14285714285713924,-1.4465116279069794,-2.0909090909091055,3.8000000000003125,7,24,1998
1998-07-31,85.7,0.0,0.480000000000004,-0.5400000000000063,-1.4200000000000017,1.440000000000012,1.5,0.12000000000000455,0.0,-1.0600000000000023,1.539999999999992,-0.21999999999999886,-0.7800000000000011,-0.11499999999999844,0.6261788881781277,-0.40749999999999886,1.3573477288973774,0.07833333333333314,1.3784433468975283,-1.0,-1.0,-1.0,-1.0,-1.0,,-1.0,7,31,1998
1998-08-07,86.6,0.8999999999999915,0.0,0.480000000000004,0.1599999999999966,-2.980000000000004,-0.1799999999999926,1.039999999999992,0.20000000000000284,0.0,1.3800000000000097,-1.0750000000000028,-1.4000000000000057,0.07499999999999929,0.4579301256742128,-0.5875000000000004,1.1582221597899844,-0.00833333333333286,1.344766511219316,-2.6666666666666314,-1.6338028169014018,6.499999999999645,1.6470588235293602,-6.29411764705872,-12.250000000000133,3.4999999999998934,8,7,1998
1998-08-14,86.18,-0.4199999999999875,0.8999999999999915,0.0,-0.7599999999999909,-1.4200000000000017,1.8399999999999892,1.5,0.12000000000000455,0.20000000000000284,0.1599999999999966,1.2450000000000045,-0.21999999999999886,0.2099999999999973,0.6206448259673135,-0.10250000000000092,0.7556595983453317,-0.05833333333333357,1.2937741360653001,-1.8749999999999667,-3.624999999999978,-1.4038461538461449,1.0999999999999077,-6.249999999999956,9.500000000001776,0.11111111111107763,8,14,1998
1998-08-21,86.62,0.4399999999999977,-0.4199999999999875,0.8999999999999915,0.35999999999999943,0.1599999999999966,1.440000000000012,-0.1799999999999926,1.039999999999992,0.12000000000000455,0.5600000000000023,-0.1700000000000017,-1.0750000000000028,0.240000000000002,0.5734108474732478,0.022500000000000853,0.5653254435657876,-0.07833333333333314,1.2976750772287353,0.0,-1.5789473684210567,-0.7066666666666681,0.09999999999997877,-0.9195612431444246,-6.499999999999112,21.000000000004263,8,21,1998
1998-08-28,88.94,2.319999999999993,0.4399999999999977,-0.4199999999999875,-0.5400000000000063,-0.7599999999999909,-2.980000000000004,1.8399999999999892,1.5,1.039999999999992,-0.2400000000000091,0.0799999999999983,1.2450000000000045,0.23000000000000043,0.5681549084536605,0.057500000000000995,0.5834319644507441,-0.1949999999999991,1.1657576545281232,1.5777777777777948,5.444444444444436,-13.88888888888938,1.9000000000000017,-9.000000000000195,-5.461538461538483,-30.000000000000533,8,28,1998
1998-09-04,91.0,2.0600000000000023,2.319999999999993,0.4399999999999977,0.480000000000004,0.35999999999999943,-1.4200000000000017,1.440000000000012,-0.1799999999999926,1.5,0.3400000000000034,5.469999999999999,-0.1700000000000017,0.8099999999999987,1.1457166607266591,0.442499999999999,0.8982164867908253,-0.12166666666666733,1.2981233540862893,-5.904761904762056,-4.814814814814775,0.1195652173913122,-2.9433962264150924,0.337662337662346,-5.1200000000000045,33.33333333333207,9,4,1998
1998-09-11,88.0,-3.0,2.0600000000000023,2.319999999999993,0.0,-0.5400000000000063,0.1599999999999966,-2.980000000000004,1.8399999999999892,-0.1799999999999926,-0.20000000000000284,-0.28999999999999204,0.0799999999999983,1.1000000000000014,1.3109792777411273,0.6549999999999994,1.0620599929247998,0.2983333333333332,1.0874978230559862,-7.818181818181853,-7.2499999999999485,-3.083333333333316,0.0,-3.1739130434782457,4.555555555555637,13.851485148514985,9,11,1998
1998-09-18,88.0,0.0,-3.0,2.0600000000000023,0.8999999999999915,0.480000000000004,-0.7599999999999909,-1.4200000000000017,1.440000000000012,1.8399999999999892,0.4000000000000057,1.539999999999992,5.469999999999999,0.4549999999999983,2.44891132274459,0.34750000000000014,1.6505561833169173,0.16666666666666666,1.3727035920092672,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,9,18,1998
1998-09-25,90.0,2.0,0.0,-3.0,-0.4199999999999875,0.0,0.35999999999999943,0.1599999999999966,-2.980000000000004,1.440000000000012,0.7999999999999972,1.3800000000000097,-0.28999999999999204,0.34499999999999886,2.4596679992768653,0.28749999999999964,1.6537727430678861,0.15333333333333363,1.3735510271709666,-0.029126213592234107,1.2222222222222432,-2.4084507042253502,15.666666666666035,2.571428571428557,0.0,-1.408163265306122,9,25,1998
1998-10-02,86.0,-4.0,2.0,0.0,0.4399999999999977,0.8999999999999915,-0.5400000000000063,-0.7599999999999909,-1.4200000000000017,-2.980000000000004,-1.0600000000000023,0.1599999999999966,1.539999999999992,0.26500000000000057,2.3778631864203907,0.5374999999999996,1.7523351766795547,0.38333333333333286,1.4363548139353126,0.33333333333333326,8.523809523809808,-26.000000000000533,-4.846153846153875,15.666666666666035,17.181818181818276,-2.273885350318471,10,2,1998
1998-10-09,90.8,4.799999999999997,-4.0,2.0,2.319999999999993,-0.4199999999999875,0.480000000000004,0.35999999999999943,0.1599999999999966,-1.4200000000000017,0.0,0.5600000000000023,1.3800000000000097,-1.25,2.75378527364305,-0.07499999999999929,2.358904103906848,0.019999999999999574,1.9146136567322007,0.0,9.90909090909096,-7.315789473684283,2.199999999999998,13.11764705882338,-12.707317073170417,2.809523809523792,10,9,1998
1998-10-16,91.8,1.0,4.799999999999997,-4.0,2.0600000000000023,0.4399999999999977,0.0,-0.5400000000000063,-0.7599999999999909,0.1599999999999966,0.20000000000000284,-0.2400000000000091,0.1599999999999966,0.6999999999999993,3.70045042303411,0.5774999999999988,2.9079091654117586,0.46499999999999986,2.34485316462169,-0.5,-0.5689655172413781,1.7777777777777821,-6.555555555555784,-5.999999999999929,-3.1276595744680904,-0.367088607594936,10,16,1998
1998-10-23,91.5,-0.29999999999999716,1.0,4.799999999999997,-3.0,2.319999999999993,0.8999999999999915,0.480000000000004,0.35999999999999943,-0.7599999999999909,0.12000000000000455,0.3400000000000034,0.5600000000000023,0.9499999999999993,3.6710579764785325,0.6474999999999991,2.9108651144094106,0.5083333333333329,2.349954867393812,-0.9250000000000007,-1.1456310679611634,-0.4444444444444562,-1.163043478260869,-1.7499999999999822,-0.75609756097561,-1.5769230769230758,10,23,1998
1998-10-30,89.0,-2.5,-0.29999999999999716,1.0,0.0,2.0600000000000023,-0.4199999999999875,0.0,-0.5400000000000063,0.35999999999999943,1.039999999999992,-0.20000000000000284,-0.2400000000000091,0.375,3.6316892304637873,0.3200000000000003,2.8423933577181044,0.4833333333333331,2.3574382603824735,-1.5208333333333335,-0.16666666666666663,-6.20833333333329,-2.7361111111110965,-4.125000000000011,-2.5243902439024386,-13.499999999999822,10,30,1998
1998-11-06,89.0,0.0,-2.5,-0.29999999999999716,2.0,-3.0,0.4399999999999977,0.8999999999999915,0.480000000000004,-0.5400000000000063,1.5,0.4000000000000057,0.3400000000000034,0.75,3.062134331910776,-0.25,2.9002462949598904,0.20000000000000048,2.502653137626691,-1.0,,,-1.0,-1.0,-1.0,-1.0,11,6,1998
1998-11-13,89.0,0.0,0.0,-2.5,-4.0,0.0,2.319999999999993,-0.4199999999999875,0.0,0.480000000000004,-0.1799999999999926,0.7999999999999972,-0.20000000000000284,-0.4499999999999993,1.4753530650887148,0.125,2.6794189135493007,0.23499999999999943,2.4961224474627173,-1.0,-1.0,-1.0,-1.0,,,-1.0,11,13,1998
